0.000000,0.039216,0.113725,0.184314
0.001957,0.039219,0.113729,0.184317
0.003914,0.039228,0.113738,0.184326
0.005871,0.039243,0.113753,0.184340
0.007828,0.039264,0.113774,0.184361
0.009785,0.039292,0.113801,0.184388
0.011742,0.039325,0.113834,0.184421
0.013699,0.039365,0.113873,0.184459
0.015656,0.039411,0.113919,0.184504
0.017613,0.039463,0.113970,0.184555
0.019569,0.039521,0.114027,0.184611
0.021526,0.039585,0.114091,0.184674
0.023483,0.039655,0.114160,0.184742
0.025440,0.039731,0.114236,0.184816
0.027397,0.039813,0.114317,0.184897
0.029354,0.039902,0.114405,0.184983
0.031311,0.039996,0.114498,0.185075
0.033268,0.040097,0.114598,0.185173
0.035225,0.040203,0.114704,0.185277
0.037182,0.040316,0.114815,0.185387
0.039139,0.040435,0.114933,0.185503
0.041096,0.040560,0.115057,0.185625
0.043053,0.040691,0.115187,0.185753
0.045010,0.040828,0.115322,0.185887
0.046967,0.040972,0.115464,0.186027
0.048924,0.041121,0.115612,0.186172
0.050881,0.041277,0.115766,0.186324
0.052838,0.041438,0.115926,0.186481
0.054795,0.041606,0.116092,0.186645
0.056751,0.041780,0.116264,0.186815
0.058708,0.041960,0.116442,0.186990
0.060665,0.042145,0.116626,0.187171
0.062622,0.042338,0.116817,0.187359
0.064579,0.042536,0.117013,0.187552
0.066536,0.042740,0.117215,0.187751
0.068493,0.042950,0.117423,0.187956
0.070450,0.043167,0.117638,0.188168
0.072407,0.043389,0.117858,0.188385
0.074364,0.043618,0.118084,0.188608
0.076321,0.043853,0.118317,0.188837
0.078278,0.044094,0.118555,0.189071
0.080235,0.044341,0.118800,0.189312
0.082192,0.044594,0.119050,0.189559
0.084149,0.044853,0.119307,0.189812
0.086106,0.045118,0.119570,0.190071
0.088063,0.045389,0.119838,0.190335
0.090020,0.045667,0.120113,0.190606
0.091977,0.045950,0.120394,0.190882
0.093933,0.046240,0.120680,0.191165
0.095890,0.046536,0.120973,0.191453
0.097847,0.046837,0.121272,0.191748
0.099804,0.047145,0.121577,0.192048
0.101761,0.047459,0.121888,0.192354
0.103718,0.047779,0.122205,0.192667
0.105675,0.048106,0.122528,0.192985
0.107632,0.048438,0.122857,0.193309
0.109589,0.048776,0.123192,0.193639
0.111546,0.049121,0.123533,0.193975
0.113503,0.049471,0.123880,0.194317
0.115460,0.049828,0.124233,0.194665
0.117417,0.050191,0.124593,0.195019
0.119374,0.050560,0.124958,0.195379
0.121331,0.050935,0.125329,0.195744
0.123288,0.051316,0.125707,0.196116
0.125245,0.051703,0.126090,0.196494
0.127202,0.052096,0.126479,0.196877
0.129159,0.052496,0.126875,0.197267
0.131115,0.052901,0.127276,0.197662
0.133072,0.053313,0.127684,0.198064
0.135029,0.053731,0.128097,0.198471
0.136986,0.054154,0.128517,0.198884
0.138943,0.054584,0.128943,0.199304
0.140900,0.055020,0.129374,0.199729
0.142857,0.055462,0.129812,0.200160
0.144814,0.055910,0.130256,0.200597
0.146771,0.056365,0.130705,0.201040
0.148728,0.056825,0.131161,0.201489
0.150685,0.057291,0.131623,0.201944
0.152642,0.057764,0.132091,0.202405
0.154599,0.058243,0.132565,0.202872
0.156556,0.058727,0.133045,0.203345
0.158513,0.059218,0.133531,0.203824
0.160470,0.059715,0.134023,0.204308
0.162427,0.060218,0.134521,0.204799
0.164384,0.060727,0.135025,0.205295
0.166341,0.061243,0.135535,0.205798
0.168297,0.061764,0.136051,0.206307
0.170254,0.062291,0.136574,0.206821
0.172211,0.062825,0.137102,0.207341
0.174168,0.063364,0.137636,0.207868
0.176125,0.063910,0.138177,0.208400
0.178082,0.064462,0.138723,0.208938
0.180039,0.065020,0.139275,0.209482
0.181996,0.065584,0.139834,0.210032
0.183953,0.066154,0.140398,0.210588
0.185910,0.066730,0.140969,0.211151
0.187867,0.067312,0.141545,0.211718
0.189824,0.067901,0.142128,0.212292
0.191781,0.068495,0.142717,0.212872
0.193738,0.069096,0.143311,0.213458
0.195695,0.069703,0.143912,0.214050
0.197652,0.070315,0.144519,0.214647
0.199609,0.070934,0.145132,0.215251
0.201566,0.071559,0.145750,0.215861
0.203523,0.072190,0.146375,0.216476
0.205479,0.072828,0.147006,0.217098
0.207436,0.073471,0.147643,0.217725
0.209393,0.074120,0.148286,0.218359
0.211350,0.074776,0.148935,0.218998
0.213307,0.075437,0.149590,0.219643
0.215264,0.076105,0.150251,0.220294
0.217221,0.076779,0.150918,0.220952
0.219178,0.077459,0.151592,0.221615
0.221135,0.078144,0.152271,0.222284
0.223092,0.078837,0.152956,0.222959
0.225049,0.079535,0.153647,0.223640
0.227006,0.080239,0.154345,0.224327
0.228963,0.080949,0.155048,0.225019
0.230920,0.081666,0.155757,0.225718
0.232877,0.082388,0.156473,0.226423
0.234834,0.083117,0.157194,0.227134
0.236791,0.083852,0.157922,0.227850
0.238748,0.084592,0.158655,0.228573
0.240705,0.085339,0.159395,0.229301
0.242661,0.086092,0.160140,0.230036
0.244618,0.086852,0.160892,0.230776
0.246575,0.087617,0.161650,0.231523
0.248532,0.088388,0.162413,0.232275
0.250489,0.089166,0.163183,0.233033
0.252446,0.089949,0.163959,0.233797
0.254403,0.090739,0.164741,0.234568
0.256360,0.091534,0.165529,0.235344
0.258317,0.092336,0.166323,0.236126
0.260274,0.093144,0.167123,0.236914
0.262231,0.093958,0.167929,0.237708
0.264188,0.094778,0.168741,0.238508
0.266145,0.095604,0.169559,0.239314
0.268102,0.096437,0.170383,0.240125
0.270059,0.097275,0.171213,0.240943
0.272016,0.098120,0.172049,0.241767
