scalar,RGB_r,RGB_g,RGB_b
0.7906066536,0.7705705326,0.7430411757,0.7145708422
0.7925636008,0.7725768284,0.7449202519,0.7162894199
0.7945205479,0.7745841306,0.7468002031,0.7180087012
0.7964774951,0.7765924379,0.7486810279,0.7197286849
0.7984344423,0.7786017490,0.7505627253,0.7214493701
0.8003913894,0.7806120623,0.7524452939,0.7231707559
0.8023483366,0.7826233766,0.7543287325,0.7248928412
0.8043052838,0.7846356904,0.7562130399,0.7266156252
0.8062622309,0.7866490023,0.7580982149,0.7283391069
0.8082191781,0.7886633110,0.7599842563,0.7300632853
0.8101761252,0.7906786151,0.7618711628,0.7317881595
0.8121330724,0.7926949133,0.7637589332,0.7335137284
0.8140900196,0.7947122041,0.7656475664,0.7352399913
0.8160469667,0.7967304863,0.7675370611,0.7369669471
0.8180039139,0.7987497584,0.7694274162,0.7386945949
0.8199608611,0.8007700191,0.7713186304,0.7404229338
0.8219178082,0.8027912670,0.7732107025,0.7421519628
0.8238747554,0.8048135009,0.7751036314,0.7438816810
0.8258317025,0.8068367194,0.7769974159,0.7456120875
0.8277886497,0.8088609212,0.7788920548,0.7473431813
0.8297455969,0.8108861049,0.7807875469,0.7490749615
0.8317025440,0.8129122692,0.7826838911,0.7508074273
0.8336594912,0.8149394127,0.7845810861,0.7525405776
0.8356164384,0.8169675343,0.7864791309,0.7542744117
0.8375733855,0.8189966325,0.7883780243,0.7560089284
0.8395303327,0.8210267060,0.7902777651,0.7577441271
0.8414872798,0.8230577536,0.7921783521,0.7594800067
0.8434442270,0.8250897740,0.7940797843,0.7612165664
0.8454011742,0.8271227658,0.7959820604,0.7629538052
0.8473581213,0.8291567278,0.7978851794,0.7646917223
0.8493150685,0.8311916586,0.7997891400,0.7664303167
0.8512720157,0.8332275571,0.8016939412,0.7681695876
0.8532289628,0.8352644219,0.8035995818,0.7699095341
0.8551859100,0.8373022517,0.8055060607,0.7716501553
0.8571428571,0.8393410453,0.8074133768,0.7733914503
0.8590998043,0.8413808014,0.8093215289,0.7751334182
0.8610567515,0.8434215187,0.8112305160,0.7768760582
0.8630136986,0.8454631960,0.8131403369,0.7786193693
0.8649706458,0.8475058321,0.8150509905,0.7803633507
0.8669275930,0.8495494256,0.8169624757,0.7821080016
0.8688845401,0.8515939754,0.8188747914,0.7838533211
