# Particle Data Generated with LDPM Mesh Generation Tool
# [n x y z d]
# Note: Node numbers are zero-indexed

# Number of Nodes: 1821
# Number of Aggregates: 1059
0 19.803987503051758 -45.910804748535156 200.0 0.0
1 22.315616607666016 -44.74386215209961 187.50143432617188 0.0
2 29.857929229736328 -40.10615921020508 200.0 0.0
3 29.857929229736328 -40.10615921020508 0.0 0.0
4 22.315616607666016 -44.74386215209961 12.498566627502441 0.0
5 19.803987503051758 -45.910804748535156 0.0 0.0
6 50.0 -1.2246467572939613e-14 105.88235473632812 0.0
7 50.0 -1.2246467572939613e-14 94.11764526367188 0.0
8 48.23320007324219 13.174155235290527 98.97659301757812 0.0
9 48.332672119140625 -12.804400444030762 100.3007583618164 0.0
10 15.650055885314941 47.48763656616211 73.2922592163086 0.0
11 24.498167037963867 43.58715057373047 79.07231903076172 0.0
12 23.12389373779297 44.33154296875 64.51383209228516 0.0
13 50.0 -1.2246467572939613e-14 141.1764678955078 0.0
14 50.0 -1.2246467572939613e-14 129.41175842285156 0.0
15 48.63087463378906 11.620580673217773 136.88858032226562 0.0
16 29.857929229736328 40.10615921020508 200.0 0.0
17 25.0 43.30126953125 187.96575927734375 0.0
18 19.803987503051758 45.910804748535156 200.0 0.0
19 19.803987503051758 45.910804748535156 0.0 0.0
20 25.0 43.30126953125 12.034241676330566 0.0
21 29.857929229736328 40.10615921020508 0.0 0.0
22 -14.340161323547363 47.89947509765625 0.0 0.0
23 -6.238636016845703 49.60926818847656 12.6947021484375 0.0
24 -2.9072413444519043 49.915409088134766 0.0 0.0
25 -2.9072413444519043 49.915409088134766 200.0 0.0
26 -6.238636016845703 49.60926818847656 187.3052978515625 0.0
27 -14.340161323547363 47.89947509765625 200.0 0.0
28 -23.92552375793457 -43.904090881347656 40.297828674316406 0.0
29 -34.08681869506836 -36.579898834228516 36.16514205932617 0.0
30 -28.31952667236328 -41.20684814453125 25.35959815979004 0.0
31 50.0 -1.2246467572939613e-14 58.82352828979492 0.0
32 50.0 -1.2246467572939613e-14 70.5882339477539 0.0
33 48.35344696044922 -12.725726127624512 61.521183013916016 0.0
34 -27.399333953857422 41.8243522644043 12.635320663452148 0.0
35 -25.0 43.30126953125 0.0 0.0
36 -34.31208038330078 36.368682861328125 0.0 0.0
37 -25.0 43.30126953125 200.0 0.0
38 -27.399333953857422 41.8243522644043 187.36468505859375 0.0
39 -34.31208038330078 36.368682861328125 200.0 0.0
40 -26.520889282226562 -42.386817932128906 161.01205444335938 0.0
41 -17.471210479736328 -46.84823226928711 167.9839630126953 0.0
42 -27.81273078918457 -41.55059814453125 174.25196838378906 0.0
43 -17.457866668701172 -46.853206634521484 29.254955291748047 0.0
44 38.302223205566406 -32.139381408691406 200.0 0.0
45 41.43484878540039 -27.984874725341797 188.2954864501953 0.0
46 44.68163299560547 -22.439958572387695 200.0 0.0
47 44.68163299560547 -22.439958572387695 0.0 0.0
48 41.43484878540039 -27.984874725341797 11.704514503479004 0.0
49 38.302223205566406 -32.139381408691406 0.0 0.0
50 50.0 -1.2246467572939613e-14 117.64705657958984 0.0
51 48.68299102783203 11.400273323059082 111.76470947265625 0.0
52 44.347068786621094 23.09410285949707 108.32540893554688 0.0
53 -49.85432052612305 -3.814039945602417 100.0 0.0
54 -48.45701217651367 -12.3255033493042 111.17050170898438 0.0
55 -49.92988967895508 -2.646942138671875 112.92121124267578 0.0
56 44.68163299560547 22.439958572387695 200.0 0.0
57 40.89872360229492 28.762725830078125 189.1793212890625 0.0
58 38.302223205566406 32.139381408691406 200.0 0.0
59 38.302223205566406 32.139381408691406 0.0 0.0
60 40.89872360229492 28.762725830078125 10.820677757263184 0.0
61 44.68163299560547 22.439958572387695 0.0 0.0
62 19.261131286621094 -46.14118576049805 74.41708374023438 0.0
63 14.340161323547363 -47.89947509765625 62.43065643310547 0.0
64 26.42741584777832 -42.445159912109375 66.72868347167969 0.0
65 48.490882873535156 -12.191568374633789 120.91169738769531 0.0
66 32.807044982910156 -37.7319221496582 100.0 0.0
67 38.16435623168945 -32.3029670715332 89.8797607421875 0.0
68 41.592342376708984 -27.750259399414062 101.2020034790039 0.0
69 44.03239059448242 -23.688573837280273 89.78421783447266 0.0
70 5.838984489440918 -49.65789031982422 171.00363159179688 0.0
71 -6.135268688201904 -49.62215805053711 165.438720703125 0.0
72 7.776036262512207 -49.391632080078125 157.95675659179688 0.0
73 -37.06293487548828 -33.560970306396484 170.40415954589844 0.0
74 -38.28242874145508 -32.16295623779297 89.69993591308594 0.0
75 -29.411792755126953 -40.434471130371094 89.99019622802734 0.0
76 -32.70905303955078 -37.81690216064453 100.0 0.0
77 -32.999996185302734 -37.56328201293945 79.72977447509766 0.0
78 13.564238548278809 -48.12495803833008 188.06680297851562 0.0
79 8.682409286499023 -49.240386962890625 200.0 0.0
80 17.795175552368164 -46.72613525390625 174.2131805419922 0.0
81 13.564238548278809 -48.12495803833008 11.933192253112793 0.0
82 8.682409286499023 -49.240386962890625 0.0 0.0
83 17.795175552368164 -46.72613525390625 25.78681755065918 0.0
84 25.87179183959961 42.786102294921875 137.51617431640625 0.0
85 13.951255798339844 48.014190673828125 131.33987426757812 0.0
86 14.340161323547363 47.89947509765625 143.70875549316406 0.0
87 22.53883171081543 44.631839752197266 124.8330307006836 0.0
88 -49.9992561340332 0.27279382944107056 167.8106231689453 0.0
89 -49.51483154296875 -6.9484758377075195 154.65158081054688 0.0
90 -48.73329544067383 -11.183283805847168 166.27972412109375 0.0
91 -49.72186279296875 5.266543865203857 156.5936737060547 0.0
92 -48.73329544067383 -11.183283805847168 33.72026824951172 0.0
93 -49.51483154296875 -6.9484758377075195 45.34842300415039 0.0
94 -49.9992561340332 0.27279382944107056 32.18938064575195 0.0
95 -49.72186279296875 5.266543865203857 43.40632247924805 0.0
96 48.50411605834961 12.138815879821777 77.7262954711914 0.0
97 50.0 -1.2246467572939613e-14 82.35294342041016 0.0
98 -26.001089096069336 -42.70764923095703 12.482037544250488 0.0
99 -34.7340202331543 -35.96592712402344 14.028997421264648 0.0
100 15.621783256530762 -47.496944427490234 86.46003723144531 0.0
101 23.84514617919922 -43.94779968261719 94.6698989868164 0.0
102 14.548646926879883 -47.83656311035156 101.44812774658203 0.0
103 -41.774391174316406 27.475448608398438 0.0 0.0
104 -36.43494415283203 34.24171447753906 11.491868019104004 0.0
105 -33.370853424072266 37.23420715332031 23.15936279296875 0.0
106 -36.43494415283203 34.24171447753906 188.5081329345703 0.0
107 -41.774391174316406 27.475448608398438 200.0 0.0
108 -33.370853424072266 37.23420715332031 176.84063720703125 0.0
109 48.55084228515625 -11.950550079345703 88.52486419677734 0.0
110 -35.981746673583984 34.71763229370117 52.58443069458008 0.0
111 -41.536041259765625 27.834461212158203 53.09914016723633 0.0
112 -36.70652389526367 33.95042037963867 62.90764236450195 0.0
113 -29.54560661315918 40.336795806884766 61.779541015625 0.0
114 30.278106689453125 39.78990173339844 172.11778259277344 0.0
115 37.52005386352539 33.049137115478516 164.3948516845703 0.0
116 27.97429847717285 41.44198989868164 161.5914764404297 0.0
117 27.97429847717285 41.44198989868164 38.40852737426758 0.0
118 37.52005386352539 33.049137115478516 35.60514450073242 0.0
119 30.278106689453125 39.78990173339844 27.882217407226562 0.0
120 1.2724617719650269 -49.98380661010742 50.66743087768555 0.0
121 8.61815071105957 -49.25167465209961 37.498111724853516 0.0
122 12.964762687683105 -48.2899055480957 50.675262451171875 0.0
123 -44.68163299560547 -22.439958572387695 10.182477951049805 0.0
124 -46.9846305847168 -17.10100746154785 0.0 0.0
125 -41.774391174316406 -27.475448608398438 0.0 0.0
126 -46.9846305847168 -17.10100746154785 200.0 0.0
127 -44.68163299560547 -22.439958572387695 189.81752014160156 0.0
128 -41.774391174316406 -27.475448608398438 200.0 0.0
129 -37.313140869140625 33.282569885253906 137.09124755859375 0.0
130 -41.6476936340332 27.6671199798584 146.89944458007812 0.0
131 -35.77279281616211 34.932899475097656 147.52183532714844 0.0
132 -29.56199836730957 40.32478332519531 137.96095275878906 0.0
133 13.059100151062012 -48.26448059082031 137.60035705566406 0.0
134 2.5342795848846436 -49.935733795166016 135.29458618164062 0.0
135 13.321115493774414 -48.19282150268555 124.72232055664062 0.0
136 2.5357825756073 -49.9356575012207 123.07200622558594 0.0
137 26.655427932739258 -42.30234146118164 55.70899200439453 0.0
138 22.556550979614258 -44.622886657714844 44.80914306640625 0.0
139 7.2474894523620605 -49.47195053100586 113.27897644042969 0.0
140 0.0648534893989563 -49.99995803833008 104.59427642822266 0.0
141 18.12799835205078 -46.5980224609375 115.20441436767578 0.0
142 -6.054290771484375 -49.632102966308594 114.81912994384766 0.0
143 36.906005859375 -33.733463287353516 37.00468444824219 0.0
144 29.329437255859375 -40.49424743652344 29.03912353515625 0.0
145 39.204952239990234 -31.031787872314453 26.25410270690918 0.0
146 32.67863845825195 -37.84318161010742 18.24003791809082 0.0
147 45.47072982788086 -20.794532775878906 21.092458724975586 0.0
148 37.62489700317383 -32.92972946166992 163.10511779785156 0.0
149 39.033504486083984 -31.247167587280273 173.8009796142578 0.0
150 29.619962692260742 -40.2822265625 170.8412628173828 0.0
151 32.67863845825195 -37.84318161010742 181.7599639892578 0.0
152 45.47072982788086 -20.794532775878906 178.9075469970703 0.0
153 -46.589046478271484 -18.151052474975586 154.95985412597656 0.0
154 -48.51198196411133 -12.107331275939941 144.2810516357422 0.0
155 -42.500179290771484 -26.338842391967773 146.4231414794922 0.0
156 -46.727020263671875 17.79285430908203 44.37712478637695 0.0
157 -46.62937927246094 18.04718589782715 60.006019592285156 0.0
158 -46.62937927246094 18.04718589782715 139.9939727783203 0.0
159 -46.727020263671875 17.79285430908203 155.6228790283203 0.0
160 -49.94524002075195 -2.339426040649414 144.08920288085938 0.0
161 -48.67715835571289 -11.425158500671387 55.69437026977539 0.0
162 -49.94524002075195 -2.339426040649414 55.91079330444336 0.0
163 -49.23542785644531 -8.710494041442871 88.16911315917969 0.0
164 -49.999977111816406 0.04858759045600891 89.1738510131836 0.0
165 -48.9678955078125 10.106685638427734 97.8886489868164 0.0
166 -49.17570877075195 9.0415620803833 83.99908447265625 0.0
167 27.78986930847168 -41.56589126586914 106.81542205810547 0.0
168 41.93401336669922 -27.2312068939209 80.27079010009766 0.0
169 30.979482650756836 -39.24629592895508 82.0989761352539 0.0
170 8.433076858520508 49.2837028503418 28.08499526977539 0.0
171 -2.525136947631836 49.936195373535156 29.366172790527344 0.0
172 1.2881555557250977 49.983402252197266 41.51107406616211 0.0
173 11.509544372558594 48.65727615356445 39.61272430419922 0.0
174 1.3047171831130981 49.982975006103516 158.51785278320312 0.0
175 -2.5301735401153564 49.93593978881836 170.6307373046875 0.0
176 8.434422492980957 49.283470153808594 171.9153594970703 0.0
177 11.498889923095703 48.659793853759766 160.3888397216797 0.0
178 43.26779556274414 -25.057893753051758 159.0265655517578 0.0
179 46.26514434814453 -18.961442947387695 150.03460693359375 0.0
180 47.53938293457031 -15.492159843444824 163.69395446777344 0.0
181 46.00479507446289 -19.58465576171875 51.317806243896484 0.0
182 43.26779556274414 -25.057893753051758 40.97344207763672 0.0
183 47.53938293457031 -15.492159843444824 36.30604553222656 0.0
184 -45.12357711791992 21.537473678588867 32.867733001708984 0.0
185 -38.920806884765625 31.387428283691406 37.045989990234375 0.0
186 -40.3931999206543 29.46845054626465 26.784549713134766 0.0
187 -40.39301300048828 29.468706130981445 173.21536254882812 0.0
188 -38.91421890258789 31.395599365234375 162.9543914794922 0.0
189 -45.12357711791992 21.537473678588867 167.13226318359375 0.0
190 46.31908416748047 18.829299926757812 179.602294921875 0.0
191 39.87681198120117 30.16355323791504 175.28485107421875 0.0
192 34.6920166015625 36.00644302368164 182.36962890625 0.0
193 39.87681198120117 30.16355323791504 24.715147018432617 0.0
194 46.31908416748047 18.829299926757812 20.3976993560791 0.0
195 34.6920166015625 36.00644302368164 17.630374908447266 0.0
196 22.55105972290039 44.62566375732422 150.8406219482422 0.0
197 31.343935012817383 38.95584487915039 147.29966735839844 0.0
198 14.340161323547363 47.89947509765625 56.2912483215332 0.0
199 22.55105972290039 44.62566375732422 49.159385681152344 0.0
200 32.076358795166016 38.35501480102539 53.168678283691406 0.0
201 -23.243732452392578 -44.26882553100586 122.51376342773438 0.0
202 -32.264949798583984 -38.196502685546875 121.0596923828125 0.0
203 -27.102432250976562 -42.017356872558594 110.9170150756836 0.0
204 -17.64743423461914 -46.782135009765625 112.17295837402344 0.0
205 50.0 -1.2246467572939613e-14 47.05882263183594 0.0
206 48.710506439208984 11.282140731811523 57.615901947021484 0.0
207 44.7476921081543 22.307941436767578 76.22084045410156 0.0
208 45.65821075439453 20.379592895507812 87.0318832397461 0.0
209 46.699440002441406 17.8651180267334 67.79225158691406 0.0
210 -49.66191864013672 5.804645538330078 200.0 0.0
211 -49.96335983276367 -1.9138481616973877 189.8401641845703 0.0
212 -49.66191864013672 -5.804645538330078 200.0 0.0
213 -49.96335983276367 -1.9138481616973877 10.159832954406738 0.0
214 -49.66191864013672 5.804645538330078 0.0 0.0
215 -49.66191864013672 -5.804645538330078 0.0 0.0
216 39.14729309082031 31.104490280151367 151.1272430419922 0.0
217 45.939884185791016 19.736438751220703 147.78759765625 0.0
218 41.274566650390625 28.220739364624023 141.37986755371094 0.0
219 40.69706726074219 29.047353744506836 58.9517936706543 0.0
220 45.3436279296875 21.07025146484375 51.44544982910156 0.0
221 39.459327697753906 30.707679748535156 47.739990234375 0.0
222 50.0 -1.2246467572939613e-14 35.29411697387695 0.0
223 48.77084732055664 -11.018362045288086 25.930952072143555 0.0
224 50.0 -1.2246467572939613e-14 23.52941131591797 0.0
225 48.19612503051758 -13.309150695800781 12.880707740783691 0.0
226 50.0 -1.2246467572939613e-14 164.7058868408203 0.0
227 50.0 -1.2246467572939613e-14 176.4705810546875 0.0
228 48.77084732055664 -11.018362045288086 174.0690460205078 0.0
229 48.19612503051758 -13.309150695800781 187.11929321289062 0.0
230 48.69286346435547 -11.35803508758545 145.35142517089844 0.0
231 50.0 -1.2246467572939613e-14 152.94117736816406 0.0
232 -49.806861877441406 4.390522003173828 125.95298767089844 0.0
233 -49.189002990722656 8.968940734863281 115.70228576660156 0.0
234 -49.69886779785156 -5.479290962219238 124.85260009765625 0.0
235 24.886795043945312 -43.366432189941406 143.16064453125 0.0
236 14.858722686767578 -47.74116134643555 148.91995239257812 0.0
237 22.556550979614258 -44.622886657714844 155.19085693359375 0.0
238 48.88033676147461 10.522006034851074 172.2657012939453 0.0
239 48.88033676147461 10.522006034851074 27.734294891357422 0.0
240 -10.93566608428955 -48.789459228515625 103.67012786865234 0.0
241 -11.56674861907959 -48.643707275390625 41.8699951171875 0.0
242 -15.998260498046875 -47.371463775634766 53.16899108886719 0.0
243 -7.710973262786865 -49.401832580566406 33.34208297729492 0.0
244 48.74856185913086 11.11655044555664 46.30664825439453 0.0
245 32.41095733642578 38.072689056396484 72.14395141601562 0.0
246 -36.734649658203125 33.919986724853516 125.69598388671875 0.0
247 -28.85938835144043 40.83057403564453 127.40705108642578 0.0
248 15.082555770874023 47.67091751098633 190.1396484375 0.0
249 8.682409286499023 49.240386962890625 200.0 0.0
250 8.682409286499023 49.240386962890625 0.0 0.0
251 15.082555770874023 47.67091751098633 9.86035442352295 0.0
252 -14.340161323547363 -47.89947509765625 200.0 0.0
253 -7.672772407531738 -49.407779693603516 189.9085693359375 0.0
254 -2.9072413444519043 -49.915409088134766 200.0 0.0
