// ================================================================================
// CHRONO WORKBENCH - github.com/Concrete-Chrono-Development/chrono-preprocessor
//
// Copyright (c) 2023 
// All rights reserved. 
//
// Use of the code that generated this file is governed by a BSD-style license that
// can be found in the LICENSE file at the top level of the distribution and at
// github.com/Concrete-Chrono-Development/chrono-preprocessor/blob/main/LICENSE
//
// ================================================================================
// Tetrahedra Data File
// ================================================================================
//
// Data Structure:
// Node 1 Node 2 Node 3 Node 4
// Note: Node numbers are zero-indexed
//
// ================================================================================
724 838 1231 1632
1441 2332 1263 2217
1018 977 2086 1703
83 1354 2002 1555
177 24 812 51
483 485 484 2242
1626 2409 1748 1902
737 730 861 2273
2090 1785 2521 2174
2032 2076 2128 1478
533 626 627 2296
1951 1174 1199 1673
1594 1090 1540 1587
2240 1689 1818 1969
345 1509 2514 2051
37 38 499 36
1033 980 53 1569
2113 1242 2088 1422
1856 1189 1455 1705
1079 1180 1879 1821
1826 1415 1306 2194
193 141 10 2052
625 499 1193 1501
573 510 1378 1308
2253 1822 1808 1408
154 153 65 1530
973 1000 2497 1403
187 188 2202 1496
2209 2399 1879 2386
1095 1188 2207 2243
1179 1115 1295 2007
741 1401 2530 1526
1435 1817 2115 1881
2085 1092 1902 1359
2286 1465 1284 2103
2004 769 2432 1498
1111 2501 2034 1553
1778 1301 2267 1474
19 183 1578 1680
116 117 118 899
2205 2330 1550 1399
2183 1833 1192 1119
163 16 17 2419
112 171 114 805
507 553 634 949
67 522 68 2065
108 110 896 1828
157 145 2397 1493
1600 1225 1561 1516
804 752 1524 2510
32 30 874 2476
2073 1266 1863 1296
1217 1933 1593 1677
1898 1715 1291 1340
2371 2132 1703 1278
103 554 104 997
1992 1859 2499 1485
122 100 2208 1465
1948 63 1455 1705
1434 1913 2077 1147
577 1347 2348 1351
2275 1540 1268 1497
1052 1031 2448 1546
2044 1313 2316 1567
2520 1079 1879 1477
2111 2061 1728 1142
1475 7 2229 1445
1605 1166 1480 1458
627 1904 1230 1619
145 69 2209 1493
108 138 1524 2510
2425 878 1260 1792
243 241 677 242
804 109 172 49
2483 1572 1712 1290
1377 2076 1196 2368
172 804 1524 2510
97 41 39 1933
186 221 127 1664
1293 2044 2202 1496
136 1313 2022 1261
611 610 649 1578
2022 1313 1443 1261
2316 1067 1551 1605
1250 1187 2130 1687
50 138 2279 2192
1209 73 1777 2107
136 3 2022 1496
569 625 572 1867
573 623 575 1935
2474 2004 1498 2290
1090 1799 2275 1801
127 1664 1294 1473
421 372 443 1855
1207 2369 1307 2323
2314 1112 1631 2291
1119 1772 1838 1699
1115 1295 1941 1204
76 77 723 75
1258 1060 1546 1609
2183 2232 1833 2309
1112 1617 1631 2291
1542 2126 1348 1633
1976 1027 1786 1545
2094 1554 2363 1097
1333 1288 1977 1437
2038 1544 1668 1588
182 181 2508 2095
875 293 1573 2191
457 362 1844 1439
1235 2104 1548 2273
2370 1317 2343 2288
1872 1363 1283 1606
1007 1022 1019 2266
830 680 1816 1979
414 816 252 268
629 477 2078 1243
2296 1814 2114 2026
937 802 683 708
1766 1500 1191 1499
1085 1217 1593 1677
739 674 2058 2488
972 1059 991 1949
1551 1166 1605 1397
788 844 2517 1321
147 1180 1179 1295
1123 2124 1389 1742
748 350 807 1651
1160 1509 2051 2092
1188 1095 1190 2243
1204 2378 2135 1406
2216 1168 1465 1640
2356 2126 2405 1436
1381 2083 2076 1152
1885 1782 1452 1451
1142 2185 2247 1854
2205 1745 1595 1550
1095 79 2468 2243
1529 1974 2010 1674
856 841 739 2058
2275 1990 1407 1497
278 489 279 1843
1104 2048 2458 1974
1482 1266 2073 2153
2441 1657 1270 1072
2318 1820 2082 1225
1922 921 1538 1200
17 481 598 2419
792 758 793 1963
1909 1200 1924 1695
750 806 347 1509
980 1048 1801 1393
1047 554 555 997
758 759 868 1963
126 205 1095 2468
989 1018 1125 1356
327 423 417 1873
1485 1403 1381 2084
2511 1454 1721 1122
1157 2101 1343 1446
2062 156 2480 1777
1281 1105 1853 1520
1982 1132 1704 1681
771 1524 1734 2238
6 7 158 1445
1090 54 1801 1393
600 486 1034 504
1873 327 2137 1395
198 1048 55 106
1281 1105 1429 1853
173 1799 1407 2489
626 478 627 2296
1197 1355 2494 2098
209 1 1304 1491
561 501 1700 2144
1829 1914 1744 1591
394 2005 2528 2384
1720 1213 2298 1529
614 651 1412 2164
1386 1795 1271 1116
59 877 61 2109
1759 2185 1133 1643
844 809 788 2517
2527 1786 1396 1170
2458 1300 1813 1210
288 978 287 289
1759 890 1092 2085
1420 1765 1098 1840
2404 1599 2130 1687
1614 1258 2001 1330
2395 1754 1694 2289
232 1571 2068 1597
1334 565 2027 2424
1488 1363 1872 1606
1190 2465 2042 1318
1047 554 997 1407
2358 1748 1173 1787
1169 1051 1487 1377
1186 1939 1877 1809
1159 2298 2440 1960
1605 1551 1280 1617
1248 2499 1485 2084
918 893 2352 1928
2027 565 2319 2424
967 2113 2088 1422
2445 2377 1081 1793
163 17 598 2419
814 416 247 265
115 174 38 604
1658 842 1215 1226
1472 1762 1167 2116
2216 1088 1279 2160
15 612 481 2069
1542 1339 1116 1601
995 346 2514 2051
1827 1247 2215 1122
537 2071 1726 1619
130 171 1241 1644
1814 1477 1698 2114
2044 2316 2140 1126
1624 2421 1135 2091
489 562 606 1843
1820 2026 1347 1726
1711 1111 1659 1908
2076 1381 1152 2123
1323 1559 2333 1416
1247 1763 2513 1506
1016 1015 980 1393
410 280 616 255
1782 1602 1096 1843
1883 2438 2136 1124
2358 1084 2364 2423
1614 1637 1191 2001
1817 1442 2500 1881
1648 547 1117 1457
761 709 2371 2132
2339 1763 1148 1394
2419 16 2069 1318
1263 1772 1192 2019
199 62 1042 113
21 22 681 23
