// ================================================================================
// CHRONO WORKBENCH - github.com/Concrete-Chrono-Development/chrono-preprocessor
//
// Copyright (c) 2023 
// All rights reserved. 
//
// Use of the code that generated this file is governed by a BSD-style license that
// can be found in the LICENSE file at the top level of the distribution and at
// github.com/Concrete-Chrono-Development/chrono-preprocessor/blob/main/LICENSE
//
// ================================================================================
// Face Facet Data File
// ================================================================================
//
// Data Structure:
// n x1 y1 z1 x2 y2 z2 x3 y3 z3
// One line per face facet, first number is the tet node index
// Note: All indices are zero-indexed
//
// ================================================================================
0 0 30 150 0 27.5 145.3233719 0 25 146.8822479
0 0 30 150 0 25 150 0 25 146.8822479
1 0 25 140.6467438 0 27.5 145.3233719 0 25 146.8822479
1 0 25 140.6467438 0 22.5 145.3233719 0 25 146.8822479
2 0 20 150 0 25 150 0 25 146.8822479
2 0 20 150 0 22.5 145.3233719 0 25 146.8822479
3 0 30 125 0 31.15287399 129.2984161 0 34.101916 127.8656108
3 0 30 125 0 35 125 0 34.101916 127.8656108
4 0 32.30574799 133.5968323 0 31.15287399 129.2984161 0 34.101916 127.8656108
4 0 32.30574799 133.5968323 0 36.15287399 129.2984161 0 34.101916 127.8656108
5 0 40 125 0 35 125 0 34.101916 127.8656108
5 0 40 125 0 36.15287399 129.2984161 0 34.101916 127.8656108
6 0 19.3493824 132.6015167 0 24.6746912 128.8007584 0 23.1164608 127.5338389
6 0 19.3493824 132.6015167 0 19.6746912 128.8007584 0 23.1164608 127.5338389
3 0 30 125 0 24.6746912 128.8007584 0 23.1164608 127.5338389
3 0 30 125 0 25 125 0 23.1164608 127.5338389
7 0 20 125 0 19.6746912 128.8007584 0 23.1164608 127.5338389
7 0 20 125 0 25 125 0 23.1164608 127.5338389
8 0 10 125 0 14.6746912 128.8007584 0 16.44979413 127.5338389
8 0 10 125 0 15 125 0 16.44979413 127.5338389
6 0 19.3493824 132.6015167 0 14.6746912 128.8007584 0 16.44979413 127.5338389
6 0 19.3493824 132.6015167 0 19.6746912 128.8007584 0 16.44979413 127.5338389
7 0 20 125 0 15 125 0 16.44979413 127.5338389
7 0 20 125 0 19.6746912 128.8007584 0 16.44979413 127.5338389
6 0 19.3493824 132.6015167 0 25.82756519 133.0991745 0 27.2183768 130.3994497
6 0 19.3493824 132.6015167 0 24.6746912 128.8007584 0 27.2183768 130.3994497
4 0 32.30574799 133.5968323 0 25.82756519 133.0991745 0 27.2183768 130.3994497
4 0 32.30574799 133.5968323 0 31.15287399 129.2984161 0 27.2183768 130.3994497
3 0 30 125 0 24.6746912 128.8007584 0 27.2183768 130.3994497
3 0 30 125 0 31.15287399 129.2984161 0 27.2183768 130.3994497
4 0 32.30574799 133.5968323 0 25.82756519 133.0991745 0 25.55171013 135.6150309
4 0 32.30574799 133.5968323 0 28.65287399 137.121788 0 25.55171013 135.6150309
6 0 19.3493824 132.6015167 0 25.82756519 133.0991745 0 25.55171013 135.6150309
6 0 19.3493824 132.6015167 0 22.1746912 136.6241302 0 25.55171013 135.6150309
