time node temp humidity
0.0 337.353 0 0
0.0 418.735 0 0
0.0 496.585 0 0
0.0 -5 100 100
0.0 0 0 0
0.0 500 0 0
0.0 505 0 0
0.0 282.571 0 0
0.0 12.6764 0 0
0.0 244.597 0 0
0.0 10.4705 0 0
0.0 190.544 0 0
0.0 198.728 0 0
0.0 402.805 0 0
0.0 242.761 0 0
0.0 383.804 0 0
0.0 142.594 0 0
0.0 89.3925 0 0
0.0 290.758 0 0
0.0 369.018 0 0
0.0 107.367 0 0
0.0 408.1 0 0
0.0 484.285 0 0
0.0 341.418 0 0
0.0 46.8881 0 0
0.0 15.8986 0 0
0.0 281.694 0 0
0.0 235.902 0 0
0.0 24.1612 0 0
0.0 487.26 0 0
0.0 427.909 0 0
0.0 35.9526 0 0
0.0 314.293 0 0
0.0 327.49 0 0
0.0 220.489 0 0
0.0 175.846 0 0
0.0 491.347 0 0
0.0 101.992 0 0
0.0 76.6404 0 0
0.0 154.033 0 0
0.0 93.42 0 0
0.0 190.396 0 0
0.0 234.874 0 0
0.0 84.0301 0 0
0.0 432.554 0 0
0.0 226.543 0 0
0.0 199.018 0 0
0.0 222.711 0 0
0.0 126.306 0 0
0.0 214.624 0 0
0.0 320.836 0 0
0.0 167.716 0 0
0.0 49.377 0 0
0.0 257.153 0 0
0.0 447.697 0 0
0.0 493.474 0 0
0.0 436.109 0 0
0.0 -5 100 100
0.0 0 0 0
0.0 500 0 0
0.0 505 0 0
0.0 430.12 0 0
0.0 127.685 0 0
0.0 485.627 0 0
0.0 262.634 0 0
0.0 429.265 0 0
0.0 180.822 0 0
0.0 159.111 0 0
0.0 205.571 0 0
0.0 203.094 0 0
0.0 139.988 0 0
0.0 493.315 0 0
0.0 295.151 0 0
0.0 342.952 0 0
0.0 48.1896 0 0
0.0 392.364 0 0
0.0 121.523 0 0
0.0 300.378 0 0
0.0 381.058 0 0
0.0 399.927 0 0
0.0 308.308 0 0
0.0 450.726 0 0
0.0 54.0546 0 0
0.0 34.7268 0 0
0.0 277.219 0 0
0.0 328.952 0 0
0.0 224.115 0 0
0.0 472.815 0 0
0.0 237.486 0 0
3.1536e+07 337.353 9.33868e-39 9.33868e-39
3.1536e+07 418.735 8.75218e-49 8.75218e-49
3.1536e+07 496.585 2.92605e-60 2.92605e-60
3.1536e+07 -5 100 100
3.1536e+07 0 65.9894 65.9894
3.1536e+07 500 9.89565e-61 9.89565e-61
3.1536e+07 505 0 0
3.1536e+07 282.571 1.46493e-31 1.46493e-31
3.1536e+07 12.6764 7.52884 7.52884
3.1536e+07 244.597 1.49237e-26 1.49237e-26
3.1536e+07 10.4705 10.0228 10.0228
3.1536e+07 190.544 1.19432e-19 1.19432e-19
3.1536e+07 198.728 1.54476e-20 1.54476e-20
3.1536e+07 402.805 4.95904e-47 4.95904e-47
3.1536e+07 242.761 3.93838e-26 3.93838e-26
3.1536e+07 383.804 8.72955e-44 8.72955e-44
3.1536e+07 142.594 2.74143e-14 2.74143e-14
3.1536e+07 89.3925 5.93857e-08 5.93857e-08
3.1536e+07 290.758 1.12826e-32 1.12826e-32
3.1536e+07 369.018 5.05523e-42 5.05523e-42
3.1536e+07 107.367 4.46418e-10 4.46418e-10
3.1536e+07 408.1 1.10033e-47 1.10033e-47
3.1536e+07 484.285 1.20683e-57 1.20683e-57
3.1536e+07 341.418 1.91624e-39 1.91624e-39
3.1536e+07 46.8881 0.00312012 0.00312012
3.1536e+07 15.8986 4.06144 4.06144
3.1536e+07 281.694 8.05485e-32 8.05485e-32
3.1536e+07 235.902 2.66412e-25 2.66412e-25
3.1536e+07 24.1612 0.967989 0.967989
3.1536e+07 487.26 2.53594e-58 2.53594e-58
3.1536e+07 427.909 7.61425e-50 7.61425e-50
3.1536e+07 35.9526 0.0585875 0.0585875
3.1536e+07 314.293 8.91698e-36 8.91698e-36
3.1536e+07 327.49 3.83305e-37 3.83305e-37
